,isbn,average_rating,ratings_count,text_reviews_count,nr_tokens,nr_sentences,downloaded_reviews,average_tokens,positive,negative,compound
89,9781982104313,4.15,7653,878,13595,784,77,176.55844155844156,0.057598602427363,0.025428539904376612,0.014197285766826051
90,9781984854780,4.08,139823,15363,18212,807,56,325.2142857142857,0.057387436854821006,0.033901383703052936,0.010226477048100141
91,9781984879356,3.25,35243,6039,15512,716,56,277.0,0.04199613202681794,0.037628739040742654,0.0006753610108303268
92,9780593188095,4.22,601,65,8367,449,80,104.5875,0.05832436954703,0.023664395840803154,0.014928684116170599
93,9781250301697,4.18,1892572,164766,20154,1068,67,300.8059701492537,0.05618973900962587,0.029255135456981243,0.01042072541430983
94,9780399179532,3.98,386,96,11184,605,76,147.1578947368421,0.04694206008583691,0.04220314735336195,-0.0004402271101573624
95,9780593133842,4.10,12121,2368,6324,329,38,166.42105263157896,0.06799493991144845,0.025458570524984188,0.021593548387096703
96,9781635574043,4.48,587545,63295,47471,2356,70,678.1571428571428,0.05946358829601231,0.03598710791851867,0.01071193360156731
97,9781984818461,3.96,6186,951,11846,626,56,211.53571428571428,0.04634475772412629,0.03258483876413979,0.004759142326523703
98,9780316526883,4.26,2222,247,10910,518,73,149.45205479452054,0.047244454628780935,0.03485041246562787,0.0034920806599450026
99,9781609455910,3.66,36350,3916,9261,354,23,402.6521739130435,0.04427167692473815,0.02893855955080445,0.0057556959291653114
100,9781524746025,4.43,109221,13076,15481,722,56,276.44642857142856,0.05923389961888767,0.02830921775079129,0.011884639235191565
101,9780765387561,4.19,886701,109385,41608,2011,69,603.0144927536232,0.05401300230724862,0.03233467121707364,0.009944282349548219
102,9780399179563,4.02,1425,214,11386,620,77,147.87012987012986,0.058116195327595294,0.019174600386439488,0.017059783945195892
103,9780525658412,3.61,29006,4460,13992,646,48,291.5,0.050957690108633505,0.02115494568324757,0.013476079188107466
104,9781524745004,4.25,23446,2162,16445,861,56,293.6607142857143,0.048596533900881735,0.03285083612040134,0.00485191851626631
105,9780399178542,4.25,1493,256,18927,823,73,259.2739726027397,0.0475511174512601,0.020763987953716912,0.011394885613145254
106,9781524743475,4.24,42066,5635,14678,712,66,222.3939393939394,0.06338281782259164,0.021869464504700915,0.018127960212563084
107,9781982135607,3.84,1722,253,6751,363,64,105.484375,0.06333980151088728,0.029912161161309434,0.01509084580062208
108,9780593083192,3.82,248,29,8076,469,75,107.68,0.048586552748885584,0.021545319465081723,0.011523910351659202
109,9781501195068,4.25,835,103,15390,803,51,301.7647058823529,0.05004697855750487,0.035274723846653665,0.006120597790773211
110,9780525540670,4.04,85492,9417,17820,843,59,302.03389830508473,0.048111728395061726,0.03731762065095398,0.0033822109988776612
111,9781982104382,4.16,422,98,15869,900,74,214.44594594594594,0.06751439914298317,0.030121620770054824,0.016388008066040766
112,9780062941503,4.10,262689,36620,28056,1275,62,452.51612903225805,0.04441117764471058,0.04310578842315369,-0.0012808205018534319
113,9780812997439,4.00,14758,2449,17301,711,42,411.92857142857144,0.05144211317264898,0.020172244378937634,0.013245656320443912
114,9781982132545,4.12,8131,769,5621,324,64,87.828125,0.05068350827254937,0.025301191958726203,0.012063173812488852
115,9781629998916,4.59,407,62,16264,833,85,191.34117647058824,0.05090998524348254,0.022134776192818496,0.010946212493851465
116,9780399179594,4.12,920,178,10955,575,67,163.50746268656715,0.061832496576905524,0.023550890004564125,0.01870411684162483
